GeneSymbol;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
COIL;0.035983283;6.19025962;0.790645414;0.430582459;0.553559458;-6.349850346;8016858
COL10A1;1.427210763;4.664137648;9.639013901;6.12E-17;8.86E-14;27.95648953;8129082
COL11A1;1.849443174;5.231632228;9.104071415;1.27E-15;1.08E-12;25.01550733;7918064
COL11A2;-0.165057352;4.800889674;-3.133312438;0.002133858;0.00787444;-1.969173465;8125568
COL12A1;1.621681606;7.196090194;7.254665864;3.17E-11;3.07E-09;15.1993105;8127563
COL13A1;-0.016169368;4.496584322;-0.363842777;0.716562992;0.79969918;-6.593385371;7928069
COL14A1;0.093677704;6.69132088;0.484476908;0.628857907;0.729203612;-6.54272931;8148070
COL15A1;0.060161222;5.952325846;0.64328923;0.521162897;0.635978785;-6.454170657;8156783
COL16A1;0.27289556;5.517109053;4.394690445;2.27E-05;0.000196276;2.260051856;7914361
COL17A1;1.615232764;5.017746944;10.00044902;7.77E-18;1.57E-14;29.95786165;7936144
COL18A1;-0.141291925;6.039443749;-2.718000211;0.007458467;0.021894081;-3.098268599;8069208
COL18A1-AS1;-0.111010558;3.273310921;-2.469770149;0.014808459;0.038146159;-3.704810223;8070905
COL19A1;-0.129341204;3.782178493;-2.926360423;0.004045288;0.013231429;-2.549340695;8120501
COL1A1;1.486436419;9.710266624;6.390892578;2.67E-09;1.19E-07;10.91802661;8016646
COL1A2;1.501199942;9.819564014;6.616831254;8.58E-10;4.55E-08;12.01303765;8134263
COL20A1;-0.118706621;4.493494836;-2.680965697;0.008286799;0.023815428;-3.19206715;8064059
COL21A1;-0.107813246;3.889703922;-1.290581077;0.199126121;0.306348587;-5.838630329;8127201
COL22A1;0.076827741;4.517948589;1.709144744;0.089796246;0.16311998;-5.227134021;8153101
COL23A1;-0.155508071;5.043624964;-2.973806358;0.00350329;0.011761348;-2.419373167;8116195
COL24A1;0.211881227;3.678618934;3.618826935;0.000421666;0.002105293;-0.477073436;7917370
COL25A1;-0.146050981;3.993164255;-3.425770277;0.000819634;0.003621946;-1.091838095;8102263
COL25A1-DT;0.060574002;2.367730052;2.165813588;0.032139431;0.071381179;-4.375148067;8180243
COL26A1;-0.101922692;4.597225682;-2.365370756;0.019481566;0.047557016;-3.944151533;8135099
COL27A1;-0.144488909;5.336532508;-2.593869098;0.01057211;0.029029951;-3.408112662;8157383
COL28A1;-0.123156674;4.080850518;-1.669542259;0.09740212;0.174271811;-5.292021534;8138157
COL2A1;0.067635485;4.74619937;1.682417914;0.094874096;0.170527546;-5.271084815;7962703
COL3A1;1.383318643;9.52169343;6.071303593;1.29E-08;4.23E-07;9.403144293;8046922
COL4A1;0.633737044;6.918792014;4.613411605;9.33E-06;9.57E-05;3.103387708;7972750
COL4A2;0.605348431;6.663033773;5.357551323;3.69E-07;6.67E-06;6.182341085;7970033
COL4A3;-0.116296072;3.940992987;-3.261454028;0.001413721;0.0056639;-1.592914476;8048782
COL4A4;-0.159984307;3.847959476;-3.388068766;0.000930408;0.004018653;-1.208631308;8059477
COL4A5;0.231142458;3.943789475;3.949535544;0.000127342;0.000787539;0.639020352;8169294
COL4A6;-0.010103019;3.453113439;-0.314516776;0.753629817;0.828172014;-6.609957045;8174389
COL5A1;0.670873377;6.15255365;6.058903971;1.37E-08;4.45E-07;9.345217075;8159142
COL5A2;1.328391254;6.727752883;6.72115142;5.05E-10;2.95E-08;12.52491077;8057620
COL5A3;-0.08313491;5.191120081;-1.456104602;0.147760385;0.242220241;-5.616531104;8033825
COL6A1;0.26385115;7.1834874;2.258410388;0.025576372;0.059201287;-4.179520253;8069269
COL6A2;0.243199093;7.243521242;2.529043642;0.012625591;0.033493885;-3.564740309;8069301
COL6A3;1.230270014;8.707967547;6.09740842;1.13E-08;3.80E-07;9.525310996;8059905
COL6A5;-0.072231077;2.642865992;-2.150931293;0.033320291;0.073474552;-4.40588039;8082585
COL6A6;-0.423812609;3.278220774;-5.013756444;1.70E-06;2.33E-05;4.721386596;8082597
COL7A1;0.201819163;4.878938848;3.503411837;0.000629335;0.002918114;-0.84793813;8086985
COL8A1;1.376272994;4.929395026;7.629489961;4.33E-12;6.21E-10;17.12862261;8081235
COL8A2;0.170093187;5.276559658;2.728463626;0.007238448;0.021351753;-3.071559694;7914880
COL9A1;-0.026958902;3.581138053;-0.921367972;0.358555003;0.482479731;-6.23954459;8127446
COL9A2;-0.154289774;4.72571907;-2.914590011;0.004191171;0.013629596;-2.581300135;7915297
COL9A3;-0.238011879;5.767830817;-3.160626476;0.001956525;0.007339615;-1.890051873;8063970
COLCA1;-0.096390874;4.837436218;-1.411935839;0.160343972;0.258583485;-5.678337469;7951593
COLEC10;0.089270321;3.196262649;2.542168867;0.012183064;0.032611904;-3.533317038;8148029
COLEC11;-0.268375913;5.051637912;-3.984133834;0.000111882;0.000709413;0.760236577;8040045
COLEC12;0.199540369;5.42884292;1.83005957;0.069518322;0.132978203;-5.020048699;8021946
COLGALT1;0.490807005;5.904323032;5.682431669;8.23E-08;1.95E-06;7.618707679;8026806
COLGALT2;-0.023809138;4.029663951;-0.291594082;0.771059038;0.84102443;-6.616839257;7922807
COLQ;-0.067092647;4.091334064;-1.861840007;0.064870312;0.125924722;-4.963388825;8085581
COMMD1;-0.114443913;5.824716613;-2.762626599;0.006560492;0.019736783;-2.983719841;8042207
COMMD10;-0.1892411;6.243567872;-3.836853819;0.000193062;0.001105106;0.250007253;8107458
COMMD2;0.227642043;5.413051143;3.906966219;0.000149167;0.000897183;0.49101487;8091432
COMMD3-BMI1;0.122740749;6.235510968;2.196466193;0.029821097;0.067093049;-4.311229442;7926609
COMMD4;-0.015026958;5.071311247;-0.439001237;0.661385131;0.756374444;-6.56351219;7984989
COMMD5;0.002151634;3.840793525;0.058591631;0.953366816;0.96881691;-6.657271732;8153911
COMMD6;-0.120756556;5.825047058;-2.478177616;0.014479642;0.037443977;-3.685126007;7972044
COMMD7;0.103210469;6.219295537;2.601812639;0.010342343;0.028507367;-3.388674176;8065637
COMMD8;-0.018808721;4.012940781;-0.422189122;0.67358028;0.765938207;-6.570678848;8100145
COMMD9;-0.02547032;2.770891948;-0.63341225;0.527570701;0.64191046;-6.460401705;7947528
COMP;1.179076839;5.833453583;6.219396264;6.24E-09;2.33E-07;10.09996593;8035517
COMT;-0.002394036;5.892819766;-0.06275;0.950061392;0.966696507;-6.657021616;8071289
COMTD1;-0.283698788;5.721543196;-4.537815264;1.27E-05;0.00012267;2.808549928;7934544
COP1;0.257574518;6.146853252;3.999819153;0.000105479;0.00067697;0.815462186;7922504
COPA;0.242889425;7.855418599;5.327847493;4.22E-07;7.46E-06;6.053649082;7921583
COPB1;0.101781202;7.414395317;2.059800009;0.041401353;0.08748752;-4.589756469;7946703
COPB2;-0.092621529;7.784453777;-1.287696179;0.20012589;0.307602445;-5.842270379;8091048
COPE;-0.032833754;5.224110658;-0.77353771;0.440600297;0.562590333;-6.363052364;8035553
COPG1;0.197520259;7.10873324;3.724087943;0.00029034;0.001548276;-0.130318998;8082478
COPRS;-0.231402441;6.177496771;-4.350550929;2.71E-05;0.000226435;2.093506358;8014073
COPS2;-0.069458609;7.128416423;-0.886830856;0.376798007;0.501468613;-6.270305699;7988605
