GeneSymbol;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
JOSD1;0.307482895;6.564974813;3.344010095;0.00120256;0.006156534;-1.400581473;8076128
JOSD2;-0.058888201;5.06962407;-1.135370192;0.2592169;0.405888206;-5.999281591;8038571
JPH1;-0.208860021;4.847236243;-1.298252725;0.197497819;0.334089097;-5.805519055;8151423
JPH2;0.085124096;3.670292088;1.592120118;0.114843248;0.223832685;-5.393165671;8066393
JPH3;-0.03429787;3.370424003;-0.896976743;0.372110216;0.523332676;-6.23726888;7997746
JPH4;-0.206166201;4.233641469;-3.440464452;0.000880266;0.004792078;-1.112659709;7978093
JPT1;0.939103044;5.293153047;7.626723538;2.31E-11;4.07E-09;15.58080105;8018305
JPT2;0.30442541;5.742546265;4.207130933;6.08E-05;0.000553806;1.386336482;7992337
JPX;-0.103138911;3.614339505;-1.102645704;0.273103388;0.421278211;-6.035174277;8168412
JRK;0.085506885;4.766495755;1.162665281;0.248020723;0.394064241;-5.968564212;8153328
JRKL;0.403539016;4.795997477;6.183868892;1.77E-08;7.56E-07;9.164604731;7943314
JSRP1;-0.289994646;5.469869214;-4.434877374;2.58E-05;0.000275648;2.194364078;8032465
JTB;-0.12331066;7.104363931;-1.985208024;0.050147545;0.119310161;-4.718836477;7920409
JUN;-0.485747849;6.914425744;-4.559437603;1.60E-05;0.000186701;2.647759557;7916609
JUNB;0.048004593;6.751662;0.281778886;0.778756112;0.858022677;-6.595883588;8026047
JUND;-0.451947848;6.877020535;-5.258646986;9.63E-07;1.93E-05;5.328109072;8035445
JUP;0.875706528;6.085490442;7.986889681;4.19E-12;1.11E-09;17.23220743;8015412
KAAG1;-0.094277409;2.45944517;-2.521981502;0.013417112;0.042457371;-3.58222619;8117189
KALRN;-0.102222733;4.703791451;-1.629546349;0.106671893;0.211767846;-5.334940439;8082165
KANK1;-0.491819791;5.179140375;-6.520893336;3.90E-09;2.23E-07;10.62535026;8154012
KANK2;0.092583263;5.699396844;1.091080479;0.278132576;0.426733065;-6.047614947;8034130
KANK3;-0.087428106;4.481302557;-1.794695175;0.076039495;0.163844169;-5.062876341;8033571
